City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,enewetak,11.3474,162.3373,27.75,76,99,8.14,MH,1702264857
250,hemsby,52.6971,1.6918,11.13,83,85,14.67,GB,1702264857
251,miquelon,47.0975,-56.3814,4.0,89,100,8.24,PM,1702264857
252,igaci,-9.5369,-36.6336,22.23,81,0,2.64,BR,1702264857
253,concordia,-31.393,-58.0209,19.32,77,0,1.79,AR,1702264857
254,utete,-7.986,38.758,22.75,97,86,0.63,TZ,1702264857
255,pathein,16.7833,94.7333,27.34,64,5,3.11,MM,1702264858
256,polovinnoye,54.7914,65.9864,-32.45,97,87,4.57,RU,1702264858
257,grand falls-windsor,48.9332,-55.6649,-0.83,91,99,5.06,CA,1702264858
258,saarijarvi,62.7049,25.254,-10.91,99,90,1.67,FI,1702264858
259,puerto colombia,10.9878,-74.9547,27.05,79,12,8.43,CO,1702264858
260,altai,46.3722,96.2583,-14.19,71,54,2.78,MN,1702264858
261,atafu village,-8.5421,-172.5159,28.57,78,100,6.69,TK,1702264858
262,port hedland,-20.3167,118.5667,32.03,11,7,8.75,AU,1702264794
263,hadibu,12.65,54.0333,24.34,71,18,5.43,YE,1702264858
264,orsa,54.5153,30.4053,-2.2,96,100,5.33,BY,1702264858
265,lubang,13.8584,120.124,27.83,77,36,7.26,PH,1702264858
266,pont rouge,48.8833,-72.0825,2.16,93,100,1.2,CA,1702264858
267,trinidad,-14.8333,-64.9,25.78,79,87,1.36,BO,1702264859
268,mount gambier,-37.8333,140.7667,18.28,81,100,6.18,AU,1702264859
269,lalibela,12.0333,39.0333,12.51,65,4,0.57,ET,1702264583
270,keflavik,64.0049,-22.5624,2.24,93,75,2.06,IS,1702264859
271,shihezi,44.3,86.0333,-5.05,71,100,0.89,CN,1702264859
272,fortuna,40.5982,-124.1573,11.1,92,100,0.0,US,1702264691
273,sakakah,29.9697,40.2064,12.76,45,100,2.95,SA,1702264859
274,duba,27.3513,35.6901,23.02,66,100,1.03,SA,1702264859
275,yongchuan,29.3514,105.8947,14.53,84,100,1.39,CN,1702264859
276,kone,-21.0595,164.8658,30.66,41,96,3.02,NC,1702264859
277,nagqu,31.5,92.0,-9.43,20,1,3.51,CN,1702264859
278,constitucion,-35.3333,-72.4167,12.42,91,89,2.69,CL,1702264859
279,mhangura,-16.8939,30.1683,20.99,59,94,1.3,ZW,1702264860
280,dubbo,-32.25,148.6167,35.07,24,42,4.12,AU,1702264848
281,rio grande,-32.035,-52.0986,19.97,87,99,7.31,BR,1702264797
282,jinja,0.439,33.2032,18.47,95,100,1.4,UG,1702264860
283,lerwick,60.1545,-1.1494,6.0,76,100,5.95,GB,1702264860
284,constantia,44.1833,28.65,-0.62,83,91,4.55,RO,1702264669
285,aykhal,66.0,111.5,-26.49,96,100,2.78,RU,1702264860
286,coari,-4.085,-63.1414,24.35,95,65,0.86,BR,1702264860
287,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.55,PT,1702264860
288,new plymouth,-39.0667,174.0833,17.95,72,43,6.32,NZ,1702264645
289,kachia,9.8667,7.95,18.99,25,0,3.82,NG,1702264860
290,broome,42.2506,-75.833,3.12,96,100,3.09,US,1702264860
291,newman,37.3138,-121.0208,10.72,51,100,2.03,US,1702264860
292,ancud,-41.8697,-73.8203,11.24,91,100,0.91,CL,1702264860
293,ixtapa,20.7,-105.2,25.13,88,100,0.0,MX,1702264860
294,kuanda,56.3161,116.0806,-33.12,94,81,0.44,RU,1702264861
295,east ballina,-28.8667,153.5833,28.78,57,36,4.49,AU,1702264861
296,gadzhiyevo,69.2551,33.3362,-14.35,93,88,6.76,RU,1702264861
